City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Guider,CM,2021-02-02 21:47:55,9.9342,13.9486,77.72,18,0,8.43
283,Hualmay,PE,2021-02-02 21:41:16,-11.0964,-77.6139,73.56,70,57,11.01
284,Myitkyina,MM,2021-02-02 21:43:35,25.3833,97.4,54.46,59,0,3.0
285,Vao,NC,2021-02-02 21:43:14,-22.6667,167.4833,77.94,86,100,45.52
286,Buraydah,SA,2021-02-02 21:40:04,26.326,43.975,64.4,45,0,9.22
287,Matagami,CA,2021-02-02 21:47:56,49.7502,-77.6328,14.0,100,90,6.91
288,Mayo,US,2021-02-02 21:47:56,38.8876,-76.5119,35.6,80,90,14.97
289,Songling,CN,2021-02-02 21:47:56,31.1933,120.7176,39.99,96,27,8.84
290,San Policarpo,PH,2021-02-02 21:43:59,12.1791,125.5072,80.31,83,96,15.95
291,Jiangyou,CN,2021-02-02 21:47:56,31.7667,104.7167,46.04,75,86,2.06
