City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Saldanha,ZA,-33.0117,17.9442,75.2,64,20,18.41,few clouds
235,Teeli,RU,51.0333,90.2333,4.89,89,0,0.49,clear sky
236,Waingapu,ID,-9.6567,120.2641,78.17,80,100,6.2,overcast clouds
237,Williams Lake,CA,52.1415,-122.1445,28.0,93,90,12.66,light snow
238,Kokstad,ZA,-30.5472,29.4241,62.01,87,91,3.87,overcast clouds
239,Ngozi,BI,-2.9075,29.8306,60.93,90,89,1.79,overcast clouds
240,Ilulissat,GL,69.2167,-51.1,19.4,38,40,21.85,snow
241,Buraydah,SA,26.326,43.975,53.6,100,75,5.75,broken clouds
242,Ust-Maya,RU,60.4167,134.5333,-26.45,85,100,1.36,overcast clouds
243,Tasiilaq,GL,65.6145,-37.6368,32.0,100,75,42.57,snow
244,Baykit,RU,61.67,96.37,5.4,91,100,4.16,light snow
245,Pacific Grove,US,36.6177,-121.9166,54.0,81,1,8.52,clear sky
246,Abu Samrah,SY,35.3029,37.1841,55.81,64,0,7.74,clear sky
247,Katsuura,JP,35.1333,140.3,48.0,87,20,11.5,few clouds
248,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,11.5,light rain
249,Bantry,IE,51.6833,-9.45,42.8,81,75,9.22,broken clouds
250,Severinia,BR,-20.8094,-48.8028,82.4,39,40,12.66,scattered clouds
251,Tucupita,VE,9.0622,-62.051,87.19,55,100,6.08,overcast clouds
252,Mantua,IT,45.1667,10.7833,50.0,91,100,1.01,overcast clouds
253,Eucaliptus,BO,-17.5833,-67.5167,59.9,41,85,3.69,overcast clouds
254,Rocha,UY,-34.4833,-54.3333,84.7,39,0,13.91,clear sky
255,Blenheim,NZ,-41.516,173.9528,52.0,92,99,4.18,overcast clouds
256,Clyde River,CA,70.4692,-68.5914,-14.8,84,40,2.3,scattered clouds
257,Nioro,GM,13.35,-15.75,86.49,18,100,11.18,overcast clouds
258,Bambanglipuro,ID,-7.95,110.2833,77.72,85,100,3.13,overcast clouds
259,Bara,NG,10.3744,10.7288,89.6,14,78,11.5,broken clouds
260,Saskylakh,RU,71.9167,114.0833,-36.08,81,76,5.03,broken clouds
261,Barra,BR,-11.0894,-43.1417,84.7,62,74,6.31,broken clouds
262,Namibe,AO,-15.1961,12.1522,74.3,74,28,11.21,scattered clouds
263,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,59,20,20.71,few clouds
264,Moanda,GA,-1.5575,13.2178,84.2,74,20,4.61,moderate rain
265,Hobyo,SO,5.3505,48.5268,77.99,72,2,12.86,clear sky
266,Westport,US,41.1415,-73.3579,42.8,52,1,16.11,clear sky
267,Dawlatabad,AF,36.4141,64.9053,54.91,41,54,7.99,broken clouds
268,San Felipe,VE,10.3399,-68.7425,82.72,57,73,8.57,broken clouds
269,Pinkafeld,AT,47.3667,16.1167,39.0,91,100,1.97,overcast clouds
270,Faanui,PF,-16.4833,-151.75,81.48,69,0,10.04,clear sky
271,Alofi,NU,-19.0595,-169.9187,77.0,88,100,6.91,overcast clouds
272,Cartagena,CO,10.3997,-75.5144,87.8,70,40,8.05,scattered clouds
273,Aklavik,CA,68.2191,-135.0107,-27.4,68,20,2.3,few clouds
274,Kaeo,NZ,-35.1,173.7833,60.01,91,93,3.0,overcast clouds
275,Gashua,NG,12.871,11.0482,80.37,16,61,11.61,broken clouds
276,Sisimiut,GL,66.9395,-53.6735,20.21,76,0,14.99,clear sky
277,Srednekolymsk,RU,67.45,153.6833,-21.17,84,6,2.77,clear sky
278,Esperance,AU,-33.8667,121.9,59.0,88,90,11.5,overcast clouds
279,Coahuayana,MX,18.7333,-103.6833,71.6,73,1,2.89,clear sky
280,Carnarvon,AU,-24.8667,113.6333,80.6,100,75,10.36,broken clouds
281,Mulchen,CL,-37.7167,-72.2333,66.2,68,90,4.61,overcast clouds
282,Fort Nelson,CA,58.8053,-122.7002,-36.4,67,20,2.3,few clouds
283,Raga,SS,8.4596,25.678,72.88,20,98,5.1,overcast clouds
284,Kuvshinovo,RU,57.0295,34.1725,-0.85,91,100,9.15,overcast clouds
285,Gondanglegi,ID,-7.7479,112.0132,74.97,90,99,5.35,overcast clouds
286,Saint-Leu,RE,-21.15,55.2833,80.01,62,27,2.55,scattered clouds
287,Svendborg,DK,55.0598,10.6068,28.99,74,90,21.85,overcast clouds
288,Zhezkazgan,KZ,47.8043,67.7144,34.32,92,100,25.66,overcast clouds
289,Northam,GB,51.0333,-4.2167,42.01,93,84,1.99,moderate rain
290,Nouadhibou,MR,20.931,-17.0347,71.6,49,0,19.57,clear sky
291,Mecca,SA,21.4267,39.8261,69.53,48,49,11.99,scattered clouds
292,Punta Alta,AR,-38.8759,-62.0736,79.29,50,9,17.85,clear sky
293,Oktyabrskiy,RU,54.4815,53.471,-0.27,90,100,12.97,overcast clouds
294,Ucluelet,CA,48.9329,-125.5528,46.0,100,90,17.27,mist
295,Quatre Cocos,MU,-20.2078,57.7625,80.01,83,20,5.75,few clouds
296,Oranjemund,NA,-28.55,16.4333,67.35,81,0,18.99,clear sky
297,Conde,BR,-7.2597,-34.9075,89.6,58,40,10.36,scattered clouds
298,Ostersund,SE,63.1792,14.6357,14.0,92,90,10.36,overcast clouds
299,Jerantut,MY,3.936,102.3626,72.54,88,88,0.27,overcast clouds
300,Vanimo,PG,-2.6741,141.3028,77.07,85,99,4.29,moderate rain
301,Krasnoselkup,RU,65.7,82.4667,1.15,93,100,13.65,light snow
302,Dalvik,IS,65.9702,-18.5286,32.0,64,20,9.22,few clouds
303,Husavik,IS,66.0449,-17.3389,32.0,64,20,9.22,few clouds
304,Ereymentau,KZ,51.6199,73.1033,29.05,92,100,17.87,overcast clouds
305,Weston,US,26.1004,-80.3998,84.2,51,40,12.66,scattered clouds
306,Lichtenfels,DE,50.1457,11.0593,37.99,84,100,1.99,overcast clouds
307,Bubaque,GW,11.2833,-15.8333,79.63,59,23,16.37,few clouds
308,Sussex,US,41.1834,-74.6663,41.0,33,75,11.5,broken clouds
309,Porto Novo,BJ,6.4965,2.6036,89.6,70,40,12.66,scattered clouds
310,Achutupo,PA,9.2,-77.9833,83.86,72,100,8.43,overcast clouds
311,Ocean City,US,39.2776,-74.5746,48.2,31,20,18.41,few clouds
312,Chara,RU,56.9064,118.2631,-15.57,71,77,0.92,broken clouds
313,Yar-Sale,RU,66.8333,70.8333,-30.8,84,100,13.56,overcast clouds
314,Sangar,RU,63.9242,127.4739,-42.25,77,67,4.0,broken clouds
315,Awbari,LY,26.5921,12.7805,72.19,20,72,13.31,broken clouds
316,Qasigiannguit,GL,68.8193,-51.1922,19.4,38,40,21.85,snow
317,Guanica,PR,17.9716,-66.908,84.99,50,15,7.0,few clouds
318,Conakry,GN,9.538,-13.6773,86.0,70,75,13.8,haze
319,Faya,SA,18.3851,42.4509,55.4,82,40,4.61,scattered clouds
320,Kathmandu,NP,27.7167,85.3167,41.0,93,40,3.44,scattered clouds
321,Korla,CN,41.7597,86.1469,29.01,84,63,2.62,broken clouds
322,Rennes,FR,48.1667,-1.6667,46.99,71,0,10.36,clear sky
323,Pangnirtung,CA,66.1451,-65.7125,15.8,79,75,8.05,broken clouds
324,Camacha,PT,33.0833,-16.3333,60.8,59,40,19.57,scattered clouds
325,Sivaki,RU,52.6333,126.75,-19.77,85,0,5.66,clear sky
326,Nizhnevartovsk,RU,60.9344,76.5531,32.0,93,90,11.18,overcast clouds
327,Touros,BR,-5.1989,-35.4608,87.8,51,40,12.66,scattered clouds
328,Qixia,CN,37.2975,120.8256,41.0,50,82,9.4,broken clouds
